databaseId	cerebroId	marvelcdbId	name	subname	type	classification	imageUrl	cardBack	traits	handSize	hitPointsFixed	hitPointsScaling	set	stage	startingThreatFixed	startingThreatScaling	accelerationFixed	accelerationScaling	acceleration	amplify	crisis	hazard	toughness	permanent	nemesisMinion	victory
4df66eb0-1e8c-5a5d-8ba5-0db273c86e7c	01047	01047	Panther Claws		Upgrade	Hero	/official/01047.jpg	player	Black Panther,Weapon				Black Panther										false	false	false	
33ed66a3-5f90-5e7e-bc65-dfd3201ca83c	01048	01048	Tactical Genius		Upgrade	Hero	/official/01048.jpg	player	Black Panther,Skill				Black Panther										false	false	false	
4234dab4-636c-5546-b9e4-7f30b02ee7f2	01049	01049	Vibranium Suit		Upgrade	Hero	/official/01049.jpg	player	Armor,Black Panther				Black Panther										false	false	false	
a16ca343-ed91-5aaf-b3bb-73036052fbb1	01050	01050	Hulk	Bruce Banner	Ally	Aggression	/official/01050.jpg	player	Avenger,Gamma		5												false	false	false	
904aed79-f923-59e8-a469-960dfe1aa330	01051	01051	Tigra	Greer Grant Nelson	Ally	Aggression	/official/01051.jpg	player	Avenger		3												false	false	false	
b7b48c3f-99e2-5e32-82b5-3f6f7b955781	01052	01052	Chase Them Down		Event	Aggression	/official/01052.jpg	player	Thwart														false	false	false	
a6671bdc-87c8-5d93-bb74-ef3f4c748e43	01053	01053	Relentless Assault		Event	Aggression	/official/01053.jpg	player	Attack														false	false	false	
52ce4abf-f0bb-5144-ad68-4b27917d65e6	01054	01054	Uppercut		Event	Aggression	/official/01054.jpg	player	Attack														false	false	false	
fa57c0e9-933f-539d-b32e-8ffa9214339c	01055	01055	The Power of Aggression		Resource	Aggression	/official/01055.jpg	player															false	false	false	
8e5f35a0-59e2-56de-ba10-903315e2615b	01056	01056	Tac Team		Support	Aggression	/official/01056.jpg	player	S.H.I.E.L.D.														false	false	false	
3c8506e5-d29c-5c9c-81b8-ee0f47e91ea0	01057	01057	Combat Training		Upgrade	Aggression	/official/01057.jpg	player	Skill														false	false	false	
36cb7913-e1d4-585c-8cc5-38752cf2fe00	01058	01058	Daredevil	Matt Murdock	Ally	Justice	/official/01058.jpg	player	Defender		3												false	false	false	
3e593704-d029-5355-a31a-89f7b1744f6a	01059	01059	Jessica Jones		Ally	Justice	/official/01059.jpg	player	Defender		3												false	false	false	
96cb6425-1f73-5849-b6f3-69cdd718ab48	01060	01060	For Justice!		Event	Justice	/official/01060.jpg	player	Thwart														false	false	false	
26edcf96-51be-5844-b02e-06b60c4d91ce	01061	01061	Great Responsibility		Event	Justice	/official/01061.jpg	player															false	false	false	
beba6d45-629f-55c9-94cf-3568c144eb6b	01062	01062	The Power of Justice		Resource	Justice	/official/01062.jpg	player															false	false	false	
ec687afd-f821-5770-b1e8-97301d70a258	01063	01063	Interrogation Room		Support	Justice	/official/01063.jpg	player	Location														false	false	false	
560cbe53-74a5-5338-bab9-5dbdb8cbfe02	01064	01064	Surveillance Team		Support	Justice	/official/01064.jpg	player	S.H.I.E.L.D.														false	false	false	
5d841847-94a8-5ff4-968a-fdbe5d4af9cd	01065	01065	Heroic Intuition		Upgrade	Justice	/official/01065.jpg	player	Skill														false	false	false	
78a441a9-d7e9-57ad-9377-3e6e7278b4d3	01066	01066	Hawkeye	Clint Barton	Ally	Leadership	/official/01066.jpg	player	Avenger		3												false	false	false	
48399019-8ff4-5375-8d1f-c3310f8888f0	01067	01067	Maria Hill		Ally	Leadership	/official/01067.jpg	player	S.H.I.E.L.D.		2												false	false	false	
3ad06a64-420b-5f9b-8ea6-7c90149c3d5c	01068	01068	Vision		Ally	Leadership	/official/01068.jpg	player	Android,Avenger		3												false	false	false	
d6cd8844-cc7b-5ef8-9885-712b3b0baf80	01069	01069	Get Ready		Event	Leadership	/official/01069.jpg	player															false	false	false	
2da8638a-9879-5094-8d84-66e6b7692dd7	01070	01070	Lead from the Front		Event	Leadership	/official/01070.jpg	player	Tactic														false	false	false	
ced1d16c-ccfd-59e3-9547-911ff77521a7	01071	01071	Make the Call		Event	Leadership	/official/01071.jpg	player															false	false	false	
04fe3e79-279a-5d4b-93f4-bf6fa562e825	01072	01072	The Power of Leadership		Resource	Leadership	/official/01072.jpg	player															false	false	false	
f04f4978-152b-50ca-ab0d-9d1d57686295	01073	01073	The Triskelion		Support	Leadership	/official/01073.jpg	player	Location,S.H.I.E.L.D.														false	false	false	
717e6686-d007-5acb-a9a2-d2ac766f0930	01074	01074	Inspired		Upgrade	Leadership	/official/01074.jpg	player	Condition														false	false	false	
2047bb74-8633-59cd-9f41-ad8edf7ce5ad	01075	01075	Black Widow	Natasha Romanoff	Ally	Protection	/official/01075.jpg	player	S.H.I.E.L.D.,Spy		2												false	false	false	
b33de9ce-6d3d-5246-9181-d9b5ded40819	01076	01076	Luke Cage		Ally	Protection	/official/01076.jpg	player	Defender		5												true	false	false	
b90b259b-916b-5e38-b454-929125397d2c	01077	01077	Counter-Punch		Event	Protection	/official/01077.jpg	player	Attack														false	false	false	
a793780e-eb17-530b-8723-c7c295f0fe3e	01078	01078	Get Behind Me!		Event	Protection	/official/01078.jpg	player															false	false	false	
4f8dd69d-4555-5af5-b48f-709a73d6acea	01079	01079	The Power of Protection		Resource	Protection	/official/01079.jpg	player															false	false	false	
d52cd91a-ee3d-5021-b735-d54dfe3ff9c8	01080	01080	Med Team		Support	Protection	/official/01080.jpg	player	S.H.I.E.L.D.														false	false	false	
b264b5f8-4830-5fc0-a35d-b011f005ece2	01081	01081	Armored Vest		Upgrade	Protection	/official/01081.jpg	player	Armor														false	false	false	
bd2f6e16-7074-5a7f-9519-ced58f280310	01082	01082	Indomitable		Upgrade	Protection	/official/01082.jpg	player	Condition														false	false	false	
7f03b038-38a6-5d4b-bb8e-10df13fe58b5	01083	01083	Mockingbird	Bobbi Morse	Ally	Basic	/official/01083.jpg	player	S.H.I.E.L.D.,Spy		3												false	false	false	
a0165626-0a00-5343-9184-3cf44aaa8941	01084	01084	Nick Fury		Ally	Basic	/official/01084.jpg	player	S.H.I.E.L.D.,Spy		3												false	false	false	
bb60e771-7bc6-55f1-a483-8e8bbd69c447	01085	01085	Emergency		Event	Basic	/official/01085.jpg	player	Thwart														false	false	false	
e68b02a5-adf5-54b6-b343-1b1a29fb4752	01086	01086	First Aid		Event	Basic	/official/01086.jpg	player															false	false	false	
eea92148-a9d4-5e1f-a7db-3da265cabfbf	01087	01087	Haymaker		Event	Basic	/official/01087.jpg	player	Attack														false	false	false	
3150df04-a4db-5738-b03c-ed65cbfe87ae	01088	01088	Energy		Resource	Basic	/official/01088.jpg	player															false	false	false	
5e7c1b7e-64c2-5fd9-a0d6-dfcefcfe078d	01089	01089	Genius		Resource	Basic	/official/01089.jpg	player															false	false	false	
e9fb6e46-2563-58cf-9f31-ca79d8e87228	01090	01090	Strength		Resource	Basic	/official/01090.jpg	player															false	false	false	
a30f67c3-21df-5b31-86a3-9e2244fd5170	01091	01091	Avengers Mansion		Support	Basic	/official/01091.jpg	player	Avenger,Location														false	false	false	
19049ed0-ec36-575c-a1a2-054d542e4def	01092	01092	Helicarrier		Support	Basic	/official/01092.jpg	player	Location,S.H.I.E.L.D.														false	false	false	
1a729a71-3a95-530e-ab3d-137c978eda8e	01093	01093	Tenacity		Upgrade	Basic	/official/01093.jpg	player	Condition														false	false	false	
d409eee6-31cd-5b41-9863-6379c293ad5f	01094	01094	Rhino		Villain	Encounter	/official/01094.jpg	villain	Brute,Criminal			14	Rhino	I									false	false	false	
fe31694e-7d87-5c7c-b20d-8765a4dabee0	01095	01095	Rhino		Villain	Encounter	/official/01095.jpg	villain	Brute,Criminal			15	Rhino	II									false	false	false	
d1f87fc5-f4f4-5600-837f-d44b0a645eba	01096	01096	Rhino		Villain	Encounter	/official/01096.jpg	villain	Brute,Criminal			16	Rhino	III									true	false	false	
53f44777-cf8a-565d-bd34-6c9657c47bce	01097A	01097a	The Break-In!		Main Scheme	Encounter	/official/01097A.jpg	multi_sided					Rhino	1A									false	false	false	
53f44777-cf8a-565d-bd34-6c9657c47bce	01097B	01097b	The Break-In!		Main Scheme	Encounter	/official/01097B.jpg	multi_sided					Rhino	1B	0			1					false	false	false	
36766d3d-dba1-5799-87ef-ea9ed2c5fb20	01098	01098	Armored Rhino Suit		Attachment	Encounter	/official/01098.jpg	encounter	Armor				Rhino										false	false	false	
b62ab98d-4027-56cd-9114-d02db335aac2	01099	01099	Charge		Attachment	Encounter	/official/01099.jpg	encounter					Rhino										false	false	false	
16f27f91-8904-5ecd-9985-1a23dc866d1c	01100	01100	Enhanced Ivory Horn		Attachment	Encounter	/official/01100.jpg	encounter	Weapon				Rhino										false	false	false	
ad69696c-7e2e-5c2d-a9bf-30d5eb4cf293	01101	01101	Hydra Mercenary		Minion	Encounter	/official/01101.jpg	encounter	Hydra		3		Rhino										false	false	false	
7a02653d-417b-5506-9007-6130a0bffea4	01102	01102	Sandman		Minion	Encounter	/official/01102.jpg	encounter	Criminal,Elite		4		Rhino										true	false	false	
662ac097-f391-5e7c-9cce-9dc8c46c057f	01103	01103	Shocker		Minion	Encounter	/official/01103.jpg	encounter	Criminal		3		Rhino										false	false	false	
8c86eec0-b5a0-563c-8225-a9f302de8ec7	01104	01104	Hard to Keep Down		Treachery	Encounter	/official/01104.jpg	encounter					Rhino										false	false	false	
067d843c-6a6f-553f-b834-421977a7659d	01105	01105	"""I'm Tough!"""		Treachery	Encounter	/official/01105.jpg	encounter					Rhino										false	false	false	
2d1d1add-55c7-5a09-ae01-5235f492cf34	01106	01106	Stampede		Treachery	Encounter	/official/01106.jpg	encounter					Rhino										false	false	false	
89399b59-bb97-5eef-81f5-7bf8c8194b15	01107	01107	Breakin' & Takin'		Side Scheme	Encounter	/official/01107.jpg	encounter					Rhino		2							1	false	false	false	
29ee503b-df5b-51b4-a23b-94b9ca65d67d	01108	01108	Crowd Control		Side Scheme	Encounter	/official/01108.jpg	encounter					Rhino			2					1		false	false	false	
7d08b829-a72c-5475-a4c7-b5c383b65494	01109	01109	Bomb Scare		Side Scheme	Encounter	/official/01109.jpg	encounter					Bomb Scare		2				1				false	false	false	
b50d78d6-b5a2-5d5c-bfe8-514808c3a29e	01110	01110	Hydra Bomber		Minion	Encounter	/official/01110.jpg	encounter	Hydra		2		Bomb Scare										false	false	true	
461a921e-f4f4-5ce1-a1fe-6a6d8454c4e7	01111	01111	Explosion		Treachery	Encounter	/official/01111.jpg	encounter					Bomb Scare										false	false	false	
9f448db8-d667-5e7a-a612-4321c446a0f7	01112	01112	False Alarm		Treachery	Encounter	/official/01112.jpg	encounter					Bomb Scare										false	false	false	
f59789a1-9f97-5189-a4cb-b62aa0005691	01113	01113	Klaw		Villain	Encounter	/official/01113.jpg	villain	Masters of Evil			12	Klaw	I									false	false	false	
276a2c25-c1f0-5715-9d78-27dfc03ea54d	01114	01114	Klaw		Villain	Encounter	/official/01114.jpg	villain	Masters of Evil			18	Klaw	II									false	false	false	
6ad69b49-ce13-5cdd-9e1a-838b710c744e	01115	01115	Klaw		Villain	Encounter	/official/01115.jpg	villain	Masters of Evil			22	Klaw	III									true	false	false	
23d565d5-af0f-50c1-a1c2-5bb413502d04	01116A	01116a	Underground Distribution		Main Scheme	Encounter	/official/01116A.jpg	multi_sided					Klaw	1A									false	false	false	
23d565d5-af0f-50c1-a1c2-5bb413502d04	01116B	01116b	Underground Distribution		Main Scheme	Encounter	/official/01116B.jpg	multi_sided					Klaw	1B	0			1					false	false	false	
dfb829ff-8d12-56d0-9fb6-c50dcacdb28c	01117A	01117a	Secret Rendezvous		Main Scheme	Encounter	/official/01117A.jpg	multi_sided					Klaw	2A									false	false	false	
dfb829ff-8d12-56d0-9fb6-c50dcacdb28c	01117B	01117b	Secret Rendezvous		Main Scheme	Encounter	/official/01117B.jpg	multi_sided					Klaw	2B	0			1					false	false	false	
2ccee51b-95b1-50b2-a164-63e2194c391a	01118	01118	Sonic Converter		Attachment	Encounter	/official/01118.jpg	encounter	Weapon				Klaw										false	false	false	
5ed5f5da-1e33-58d3-a1c8-2c90320a4a0b	01119	01119	Solid-Sound Body		Attachment	Encounter	/official/01119.jpg	encounter	Condition				Klaw										false	false	false	
8fb8f34d-78d4-549c-a00f-a91dcf38b193	01120	01120	Armored Guard		Minion	Encounter	/official/01120.jpg	encounter	Mercenary		3		Klaw										true	false	false	
ab74c5db-d3b8-54e8-9175-39fe997297e7	01121	01121	Weapons Runner		Minion	Encounter	/official/01121.jpg	encounter	Mercenary		2		Klaw										false	false	false	
594ddea2-2363-5a78-a70b-629bb98166ea	01122	01122	Klaw's Vengeance		Treachery	Encounter	/official/01122.jpg	encounter					Klaw										false	false	false	
20f5b6e8-5df8-57b7-89b0-ada41bb8391c	01123	01123	Sonic Boom		Treachery	Encounter	/official/01123.jpg	encounter					Klaw										false	false	false	
c3359deb-ee46-5305-bc04-b06bc7affba4	01124	01124	Sound Manipulation		Treachery	Encounter	/official/01124.jpg	encounter					Klaw										false	false	false	
c69766b1-a6a4-5338-a96e-5dfe1e787e70	01125	01125	Defense Network		Side Scheme	Encounter	/official/01125.jpg	encounter					Klaw		2						1		false	false	false	
450c7ad3-1515-57ce-80cc-629b572b889a	01126	01126	Illegal Arms Factory		Side Scheme	Encounter	/official/01126.jpg	encounter					Klaw		3							1	false	false	false	
72f3607e-5488-5c3a-be65-24d8ce749d90	01127	01127	"The ""Immortal"" Klaw"		Side Scheme	Encounter	/official/01127.jpg	encounter					Klaw			3			1				false	false	false	
e9f795f0-4d7f-5ff9-8faa-3edd58c1a131	01128	01128	The Masters of Evil		Side Scheme	Encounter	/official/01128.jpg	encounter					Masters of Evil			3			1				false	false	false	
a99cb606-466e-5768-a121-994535002b90	01129	01129	Radioactive Man		Minion	Encounter	/official/01129.jpg	encounter	Elite,Masters of Evil		7		Masters of Evil										false	false	true	
233eb938-6120-5193-8cba-68adff018df7	01130	01130	Whirlwind		Minion	Encounter	/official/01130.jpg	encounter	Masters of Evil		6		Masters of Evil										false	false	false	
e7f59f60-0f6f-5f1c-88fb-8cd543673073	01131	01131	Tiger Shark		Minion	Encounter	/official/01131.jpg	encounter	Masters of Evil		6		Masters of Evil										false	false	false	
eb0962c4-fcad-5b8e-8b2e-28c8fe552827	01132	01132	Melter		Minion	Encounter	/official/01132.jpg	encounter	Masters of Evil		5		Masters of Evil										false	false	false	
9f9a9ee2-aa22-5583-b87b-5d5e88e5cce2	01133	01133	Masters of Mayhem		Treachery	Encounter	/official/01133.jpg	encounter					Masters of Evil										false	false	false	
f90e9b22-5fcb-57ca-81b2-cfb868c882a8	01134	01134	Ultron		Villain	Encounter	/official/01134.jpg	villain	Android			17	Ultron	I									false	false	false	
f6d0beaf-c89d-5e40-bb62-87b0dadf73c3	01135	01135	Ultron		Villain	Encounter	/official/01135.jpg	villain	Android			22	Ultron	II									false	false	false	
f2d327a4-8647-55d7-8cf0-3b5958a2d766	01136	01136	Ultron		Villain	Encounter	/official/01136.jpg	villain	Android			27	Ultron	III									false	false	false	
fb5b0399-50de-52e9-9ba3-42b9eae95267	01137A	01137a	The Crimson Cowl		Main Scheme	Encounter	/official/01137A.jpg	multi_sided					Ultron	1A									false	false	false	
fb5b0399-50de-52e9-9ba3-42b9eae95267	01137B	01137b	The Crimson Cowl		Main Scheme	Encounter	/official/01137B.jpg	multi_sided					Ultron	1B	0			1					false	false	false	
102656e2-9d1c-5302-b0b8-1ce122e106b9	01138A	01138a	Assault on NORAD		Main Scheme	Encounter	/official/01138A.jpg	multi_sided					Ultron	2A									false	false	false	
102656e2-9d1c-5302-b0b8-1ce122e106b9	01138B	01138b	Assault on NORAD		Main Scheme	Encounter	/official/01138B.jpg	multi_sided					Ultron	2B	0			1					false	false	false	
da4df87c-6ac7-57cc-a5b0-5b7eaa4dbbe1	01139A	01139a	Countdown to Oblivion		Main Scheme	Encounter	/official/01139A.jpg	multi_sided					Ultron	3A									false	false	false	
da4df87c-6ac7-57cc-a5b0-5b7eaa4dbbe1	01139B	01139b	Countdown to Oblivion		Main Scheme	Encounter	/official/01139B.jpg	multi_sided					Ultron	3B	0			1					false	false	false	
8dc89688-080f-55ec-a557-c469bc9b4705	01140	01140	Ultron Drones		Environment	Encounter	/official/01140.jpg	encounter					Ultron										false	false	false	
53ee2091-bcd9-5458-9b4e-12002d2fb113	01141	01141	Program Transmitter		Attachment	Encounter	/official/01141.jpg	encounter	Item,Tech				Ultron										false	false	false	
8b1f2459-0e82-52ad-bcdf-9d5c8ec01288	01142	01142	Upgraded Drones		Attachment	Encounter	/official/01142.jpg	encounter	Condition				Ultron										false	false	false	
e3bd93ef-0643-558e-9d2d-d35fa38664ac	01143	01143	Advanced Ultron Drone		Minion	Encounter	/official/01143.jpg	encounter	Drone		4		Ultron										false	false	false	
ee1ed1f5-9ede-54c8-b653-333250a1aec0	01144A	01144a	Android Efficiency		Treachery	Encounter	/official/01144A.jpg	encounter					Ultron										false	false	false	
e6e9dd84-24a3-5f10-a995-947430ca8876	01144B	01144b	Android Efficiency		Treachery	Encounter	/official/01144B.jpg	encounter					Ultron										false	false	false	
e10baa4e-e7ee-56b6-928f-427d4f616457	01144C	01144c	Android Efficiency		Treachery	Encounter	/official/01144C.jpg	encounter					Ultron										false	false	false	
